clip_id,predicted_emotion
clip_001555,sad
clip_001568,sad
clip_001570,neutral
clip_001589,happy
clip_001598,fear
clip_001604,happy
clip_001608,sad
clip_001611,neutral
clip_001612,fear
clip_001621,sad
clip_001626,neutral
clip_001635,fear
clip_001657,sad
clip_001668,disgust
clip_001676,disgust
clip_001677,anger
clip_001679,anger
clip_001698,sad
clip_001705,anger
clip_001716,sad
clip_001734,sad
clip_001739,disgust
clip_001751,fear
clip_001767,happy
clip_001788,neutral
clip_001792,disgust
clip_001793,neutral
clip_001801,happy
clip_001841,neutral
clip_001844,neutral
clip_001887,fear
clip_001891,sad
clip_001903,anger
clip_001904,sad
clip_001916,neutral
clip_001923,fear
clip_001924,sad
clip_001936,fear
clip_001946,sad
clip_001952,neutral
clip_001954,happy
clip_001955,anger
clip_001956,sad
clip_001960,anger
clip_001963,happy
clip_001967,anger
clip_001973,disgust
clip_001979,happy
clip_001980,disgust
clip_001987,disgust
clip_001990,fear
clip_001995,happy
clip_001999,neutral
clip_002002,fear
clip_002010,happy
clip_002011,anger
clip_002026,anger
clip_002034,sad
clip_002043,sad
clip_002049,disgust
clip_002054,sad
clip_002059,anger
clip_002060,sad
clip_002061,disgust
clip_002076,neutral
clip_002084,anger
clip_002096,happy
clip_002102,anger
clip_002103,anger
clip_002107,neutral
clip_002115,happy
clip_002128,fear
clip_002138,disgust
clip_002145,anger
clip_002163,disgust
clip_002178,neutral
clip_002179,anger
clip_002190,disgust
clip_002210,fear
clip_002212,neutral
clip_002221,disgust
clip_002223,fear
clip_002228,anger
clip_002235,anger
clip_002241,neutral
clip_002243,sad
clip_002245,fear
clip_002251,sad
clip_002253,neutral
clip_002269,disgust
clip_002275,sad
clip_002278,disgust
clip_002284,happy
clip_002290,neutral
clip_002291,happy
clip_002298,disgust
clip_002299,fear
clip_002309,neutral
clip_002345,sad
clip_002352,neutral
clip_002356,fear
clip_002364,sad
clip_002373,sad
clip_002375,anger
clip_002380,happy
clip_002391,happy
clip_002396,disgust
clip_002409,neutral
clip_002412,sad
clip_002413,anger
clip_002415,happy
clip_002416,anger
clip_002420,happy
clip_002429,happy
clip_002440,disgust
clip_002445,neutral
clip_002448,sad
clip_002451,happy
clip_002452,disgust
clip_002460,sad
clip_002463,fear
clip_002484,disgust
clip_002486,sad
clip_002494,neutral
clip_002495,sad
clip_002500,anger
clip_002507,sad
clip_002513,fear
clip_002518,fear
clip_002519,anger
clip_002524,happy
clip_002528,happy
clip_002537,fear
clip_002538,anger
clip_002542,neutral
clip_002548,sad
clip_002571,neutral
clip_002572,happy
clip_002573,happy
clip_002582,anger
clip_002585,anger
clip_002588,neutral
clip_002590,happy
clip_002597,neutral
clip_002598,anger
clip_002614,anger
clip_002620,anger
clip_002624,neutral
clip_002645,neutral
clip_002657,disgust
clip_002678,fear
clip_002682,happy
clip_002684,neutral
clip_002686,sad
clip_002690,anger
clip_002702,sad
clip_002707,disgust
clip_002735,sad
clip_002737,anger
clip_002750,anger
clip_002757,disgust
clip_002765,fear
clip_002773,anger
clip_002788,happy
clip_002792,anger
clip_002794,neutral
clip_002796,happy
clip_002799,sad
clip_002801,sad
clip_002806,disgust
clip_002808,disgust
clip_002814,happy
clip_002815,anger
clip_002827,anger
clip_002828,anger
clip_002838,happy
clip_002845,sad
clip_002847,disgust
clip_002887,happy
clip_002899,fear
clip_002903,fear
clip_002909,neutral
clip_002922,happy
clip_002928,sad
clip_002931,neutral
clip_002944,disgust
clip_002978,neutral
clip_002990,neutral
clip_003027,disgust
clip_003043,disgust
clip_003045,disgust
clip_003049,fear
clip_003051,disgust
clip_003068,anger
clip_003069,anger
clip_003073,sad
clip_003079,anger
clip_003089,disgust
clip_003090,happy
clip_003095,anger
clip_003102,happy
clip_003131,fear
clip_003136,disgust
clip_003144,sad
clip_003145,fear
clip_003170,sad
clip_003188,fear
clip_003191,anger
clip_003196,anger
clip_003212,anger
clip_003218,sad
clip_003224,happy
clip_003230,fear
clip_003233,disgust
clip_003245,fear
clip_003260,sad
clip_003271,anger
clip_003280,sad
clip_003283,anger
clip_003288,neutral
clip_003301,sad
clip_003305,sad
clip_003318,anger
clip_003319,neutral
clip_003320,happy
clip_003325,disgust
clip_003335,anger
clip_003336,anger
clip_003339,anger
clip_003344,happy
clip_003350,neutral
clip_003359,happy
clip_003366,disgust
clip_003370,fear
clip_003372,neutral
clip_003377,anger
clip_003384,neutral
clip_003389,fear
clip_003397,sad
clip_003432,disgust
clip_003434,neutral
clip_003438,neutral
clip_003445,fear
clip_003452,happy
clip_003456,neutral
clip_003471,anger
clip_003472,anger
clip_003473,neutral
clip_003485,sad
clip_003486,sad
clip_003492,sad
clip_003495,sad
clip_003499,neutral
clip_003506,disgust
clip_003507,disgust
clip_003509,sad
clip_003510,neutral
clip_003526,fear
clip_003527,fear
clip_003536,disgust
clip_003543,neutral
clip_003548,fear
clip_003553,neutral
clip_003555,fear
clip_003563,fear
clip_003567,fear
clip_003569,neutral
clip_003573,neutral
clip_003575,fear
clip_003581,anger
clip_003587,sad
clip_003591,happy
clip_003597,anger
clip_003601,neutral
clip_003602,happy
clip_003603,neutral
clip_003608,neutral
clip_003620,sad
clip_003635,happy
clip_003642,sad
clip_003671,fear
clip_003672,happy
clip_003675,sad
clip_003699,disgust
clip_003710,happy
clip_003716,anger
clip_003723,fear
clip_003731,sad
clip_003749,disgust
clip_003758,disgust
clip_003763,anger
clip_003773,sad
clip_003775,disgust
clip_003778,sad
clip_003779,fear
clip_003783,anger
clip_003787,anger
clip_003790,neutral
clip_003796,happy
clip_003803,neutral
clip_003808,sad
clip_003809,sad
clip_003810,neutral
clip_003814,anger
clip_003820,sad
clip_003830,fear
clip_003844,sad
clip_003846,anger
clip_003852,happy
clip_003859,neutral
clip_003868,anger
clip_003869,disgust
clip_003876,sad
clip_003881,happy
clip_003884,neutral
clip_003897,neutral
clip_003923,disgust
clip_003952,neutral
clip_003960,neutral
clip_003970,sad
clip_003975,neutral
clip_003976,neutral
clip_003982,anger
clip_003991,fear
clip_004006,neutral
clip_004015,anger
clip_004023,neutral
clip_004046,disgust
clip_004054,disgust
clip_004075,sad
clip_004099,disgust
clip_004112,sad
clip_004114,happy
clip_004126,disgust
clip_004131,disgust
clip_004137,fear
clip_004145,disgust
clip_004161,happy
clip_004176,disgust
clip_004183,disgust
clip_004186,neutral
clip_004202,neutral
clip_004203,neutral
clip_004208,sad
clip_004212,neutral
clip_004243,happy
clip_004248,anger
clip_004250,anger
clip_004252,anger
clip_004254,sad
clip_004269,neutral
clip_004271,disgust
clip_004274,disgust
clip_004281,fear
clip_004287,sad
clip_004293,sad
clip_004296,happy
clip_004297,neutral
clip_004300,fear
clip_004302,anger
clip_004314,anger
clip_004317,neutral
clip_004318,happy
clip_004326,anger
clip_004329,disgust
clip_004335,disgust
clip_004347,fear
clip_004348,anger
clip_004367,neutral
clip_004381,happy
clip_004385,disgust
clip_004396,anger
clip_004397,disgust
clip_004402,fear
clip_004411,neutral
clip_004424,disgust
clip_004429,fear
clip_004430,disgust
clip_004440,neutral
clip_004460,sad
clip_004463,neutral
clip_004468,happy
clip_004472,happy
clip_004473,disgust
clip_004481,neutral
clip_004484,neutral
clip_004489,neutral
clip_004505,fear
clip_004521,neutral
clip_004524,fear
clip_004536,fear
clip_004541,neutral
clip_004552,neutral
clip_004570,neutral
clip_004572,sad
clip_004591,anger
clip_004598,neutral
clip_004604,fear
clip_004610,sad
clip_004618,anger
clip_004619,fear
clip_004628,fear
clip_004631,happy
clip_004632,fear
clip_004634,happy
clip_004640,sad
clip_004643,happy
clip_004645,sad
clip_004649,anger
clip_004653,disgust
clip_004667,sad
clip_004669,anger
clip_004674,neutral
clip_004677,sad
clip_004684,sad
clip_004692,anger
clip_004693,sad
clip_004696,sad
clip_004706,disgust
clip_004709,anger
clip_004719,sad
clip_004720,sad
clip_004741,fear
clip_004742,sad
clip_004746,sad
clip_004761,neutral
clip_004771,neutral
clip_004787,happy
clip_004814,happy
clip_004821,fear
clip_004834,disgust
clip_004835,sad
clip_004838,happy
clip_004840,happy
clip_004861,sad
clip_004881,disgust
clip_004893,disgust
clip_004894,disgust
clip_004903,sad
clip_004906,anger
clip_004909,anger
clip_004912,neutral
clip_004916,neutral
clip_004921,disgust
clip_004923,disgust
clip_004941,disgust
clip_004946,sad
clip_004947,fear
clip_004957,happy
clip_004964,anger
clip_004971,anger
clip_004973,fear
clip_004981,anger
clip_004991,disgust
clip_004994,fear
clip_005010,neutral
clip_005011,disgust
clip_005023,sad
clip_005024,fear
clip_005038,happy
clip_005039,disgust
clip_005053,happy
clip_005058,sad
clip_005066,happy
clip_005070,fear
clip_005073,anger
clip_005078,sad
clip_005086,sad
clip_005087,anger
clip_005115,disgust
clip_005121,happy
clip_005122,anger
clip_005123,anger
clip_005124,happy
clip_005136,happy
clip_005167,sad
clip_005172,anger
clip_005181,anger
clip_005187,disgust
clip_005197,disgust
clip_005201,sad
clip_005218,happy
clip_005235,disgust
clip_005237,disgust
clip_005243,disgust
clip_005252,fear
clip_005259,sad
clip_005263,disgust
clip_005265,anger
clip_005298,anger
clip_005328,neutral
clip_005336,sad
clip_005372,sad
clip_005381,anger
clip_005385,anger
clip_005387,neutral
clip_005388,happy
clip_005390,disgust
clip_005393,fear
clip_005402,disgust
clip_005408,neutral
clip_005417,happy
clip_005425,anger
clip_005431,anger
clip_005460,sad
clip_005492,happy
clip_005503,disgust
clip_005512,anger
clip_005516,disgust
clip_005529,sad
clip_005535,happy
clip_005536,happy
clip_005537,sad
clip_005538,sad
clip_005548,fear
clip_005557,disgust
clip_005563,disgust
clip_005569,fear
clip_005572,happy
clip_005578,anger
clip_005583,anger
clip_005591,neutral
clip_005604,neutral
clip_005607,neutral
clip_005610,sad
clip_005615,sad
clip_005624,neutral
clip_005626,happy
clip_005629,fear
clip_005632,happy
clip_005647,fear
clip_005659,fear
clip_005667,sad
clip_005677,neutral
clip_005689,fear
clip_005720,anger
clip_005735,disgust
clip_005743,neutral
clip_005750,disgust
clip_005756,sad
clip_005762,fear
clip_005788,fear
clip_005802,anger
clip_005818,anger
clip_005819,neutral
clip_005823,sad
clip_005830,neutral
clip_005837,neutral
clip_005849,fear
clip_005860,sad
clip_005866,disgust
clip_005900,sad
clip_005925,neutral
clip_005927,neutral
clip_005934,happy
clip_005936,neutral
clip_005953,happy
clip_005975,disgust
clip_005981,anger
clip_005987,happy
clip_005999,neutral
clip_006023,anger
clip_006034,neutral
clip_006046,neutral
clip_006065,fear
clip_006075,neutral
clip_006080,sad
clip_006090,happy
clip_006098,sad
clip_006139,happy
clip_006161,fear
clip_006163,sad
clip_006182,anger
clip_006183,neutral
clip_006185,happy
clip_006188,neutral
clip_006199,neutral
clip_006222,anger
clip_006224,fear
clip_006244,happy
clip_006252,fear
clip_006256,disgust
clip_006259,disgust
clip_006265,happy
clip_006277,sad
clip_006307,disgust
clip_006308,sad
clip_006309,anger
clip_006318,anger
clip_006322,neutral
clip_006324,disgust
clip_006325,happy
clip_006332,neutral
clip_006335,anger
clip_006345,sad
clip_006347,happy
clip_006355,neutral
clip_006430,sad
clip_006431,anger
clip_006433,anger
clip_006439,sad
clip_006440,happy
clip_006456,sad
clip_006469,happy
clip_006482,neutral
clip_006492,sad
clip_006512,disgust
clip_006565,sad
clip_006584,fear
clip_006585,happy
clip_006587,disgust
clip_006606,neutral
clip_006611,happy
clip_006639,disgust
clip_006643,anger
clip_006659,happy
clip_006660,happy
clip_006671,happy
clip_006680,neutral
clip_006693,sad
clip_006709,happy
clip_006718,disgust
clip_006723,disgust
clip_006731,anger
clip_006740,happy
clip_006743,sad
clip_006772,sad
clip_006776,sad
clip_006783,happy
clip_006784,happy
clip_006792,happy
clip_006802,sad
clip_006807,sad
clip_006809,sad
clip_006817,sad
clip_006820,neutral
clip_006829,happy
clip_006839,happy
clip_006848,anger
clip_006853,neutral
clip_006854,disgust
clip_006860,anger
clip_006864,neutral
clip_006874,neutral
clip_006882,fear
clip_006891,disgust
clip_006901,sad
clip_006924,neutral
clip_006925,anger
clip_006927,neutral
clip_006933,fear
clip_006935,sad
clip_006950,neutral
clip_006957,anger
clip_006964,sad
clip_006965,fear
clip_006973,sad
clip_006977,fear
clip_006997,sad
clip_007012,disgust
clip_007013,fear
clip_007015,fear
clip_007017,happy
clip_007018,disgust
clip_007022,disgust
clip_007032,sad
clip_007038,neutral
clip_007062,happy
clip_007081,anger
clip_007101,fear
clip_007104,fear
clip_007105,disgust
clip_007108,sad
clip_007125,happy
clip_007126,fear
clip_007130,disgust
clip_007135,happy
clip_007144,anger
clip_007145,sad
clip_007150,disgust
clip_007172,fear
clip_007199,sad
clip_007248,fear
clip_007253,anger
clip_007283,fear
clip_007292,sad
clip_007294,sad
clip_007295,neutral
clip_007301,fear
clip_007308,neutral
clip_007315,anger
clip_007321,neutral
clip_007326,fear
clip_007334,disgust
clip_007338,neutral
clip_007345,happy
clip_007352,sad
clip_007364,happy
clip_007369,fear
clip_007381,neutral
clip_007383,anger
clip_007405,anger
clip_007406,disgust
clip_007407,disgust
clip_007410,fear
clip_007415,neutral
clip_007416,neutral
clip_007418,neutral
clip_007421,neutral
clip_007426,neutral
clip_007432,disgust
clip_007441,neutral
